item_id,recommend,sentiment_analysis,year,developer
222440,True,2,2015,"SNK CORPORATION,Code Mystics"
47410,True,2,2014,FireFly Studios
365450,True,2,2023,Team Fractal Alligator
245620,True,2,2015,Haemimont Games
70,True,2,2015,Valve
274980,True,2,2014,Rob Howland
202090,True,2,2014,
339280,True,2,2015,S2 Games
212680,True,2,2013,Subset Games
200210,True,2,2013,Wild Shadow Studios
440,True,2,2011,Valve
4000,True,2,2023,Facepunch Studios
10180,True,2,2023,"Infinity Ward,Aspyr (Mac)"
251970,True,2,2015,
107410,True,2,2023,Bohemia Interactive
400,True,2,2015,Valve
620,True,2,2015,Valve
238460,True,2,2015,The Behemoth
6060,True,2,2015,Pandemic Studios
440,True,2,2014,Valve
730,True,2,2015,Valve
265610,True,2,2014,Matt Roszak
31280,True,2,2013,Telltale Games
4000,True,2,2013,Facepunch Studios
240,True,2,2013,Valve
440,True,2,2023,Valve
8930,True,2,2013,"Firaxis Games,Aspyr (Mac, Linux)"
304930,True,2,2014,Smartly Dressed Games
224260,True,2,2014,No More Room in Hell Team
230410,True,2,2015,Digital Extremes
440,True,2,2014,Valve
440,True,2,2014,Valve
570,True,2,2014,
8930,True,2,2014,"Firaxis Games,Aspyr (Mac, Linux)"
221100,True,2,2015,Bohemia Interactive
107410,True,2,2015,Bohemia Interactive
218620,True,2,2014,
225540,True,2,2023,Avalanche Studios
570,True,2,2015,
218620,True,2,2014,
219740,True,2,2013,
7940,True,2,2013,"Infinity Ward,Aspyr (Mac)"
10180,True,2,2013,"Infinity Ward,Aspyr (Mac)"
33900,True,2,2013,Bohemia Interactive
261030,True,2,2015,Telltale Games
304050,True,2,2015,Trion Worlds
4000,True,2,2015,Facepunch Studios
236390,True,2,2014,
299740,True,2,2023,Entrada Interactive LLC
730,True,2,2014,Valve
440,True,2,2023,Valve
433340,True,2,2023,Monomi Park
4000,True,2,2015,Facepunch Studios
220200,True,2,2014,Squad
242760,True,2,2014,Endnight Games Ltd
352460,True,2,2015,Section Studios
322920,True,2,2015,"Expansive Worlds,Avalanche Studios"
252490,True,2,2014,Facepunch Studios
397570,True,2,2023,Extrokold Games
550,True,2,2014,Valve
206420,True,2,2014,Deep Silver Volition
10180,True,2,2013,"Infinity Ward,Aspyr (Mac)"
242760,True,2,2023,Endnight Games Ltd
304930,True,2,2014,Smartly Dressed Games
441790,True,2,2023,Above and Beyond Technologies
252490,True,2,2014,Facepunch Studios
4000,True,2,2013,Facepunch Studios
105600,True,2,2013,Re-Logic
251570,True,2,2023,
730,True,2,2014,Valve
276340,True,2,2014,Sproing
227940,True,2,2023,Reto-Moto
448530,True,2,2023,Black Death Apps Limited
304410,True,2,2023,Matthew Brown
620,True,2,2023,Valve
274920,True,2,2014,Holotech Studios
211820,True,2,2013,Chucklefish
219890,True,2,2023,Alexander Bruce
49520,True,2,2013,"Gearbox Software,Aspyr (Mac &amp; Linux)"
440,True,2,2012,Valve
252950,True,2,2023,"Psyonix, Inc."
240,True,2,2014,Valve
204300,True,2,2013,Ronimo Games
268750,True,2,2015,SmashGames
570,True,2,2015,
570,True,2,2015,
271590,True,2,2015,Rockstar North
730,True,2,2015,Valve
12900,True,2,2013,Dylan Fitterer
301520,True,2,2014,Freejam
730,True,2,2014,Valve
107410,True,2,2014,Bohemia Interactive
304930,True,2,2014,Smartly Dressed Games
215080,True,2,2015,Ankama Studio
271590,True,2,2015,Rockstar North
730,True,2,2015,Valve
244160,True,2,2023,"Gearbox Software,Aspyr (Mac)"
270880,True,2,2023,SCS Software
8190,True,2,2015,Avalanche Studios
221100,True,2,2014,Bohemia Interactive
243120,True,2,2013,Blackpowder Games
234140,True,2,2015,"Avalanche Studios,Feral Interactive (Mac/Linux)"
204450,True,2,2014,Techland
225260,True,2,2014,Double Fine Productions
50300,True,2,2013,Yager Development
201810,True,2,2014,Machine Games
500,True,2,2014,Valve
440,True,2,2014,Valve
49520,True,2,2014,"Gearbox Software,Aspyr (Mac &amp; Linux)"
550,True,2,2013,Valve
213670,True,2,2014,Obsidian Entertainment
550,True,2,2015,Valve
231040,True,2,2014,Threaks
351040,True,2,2015,
250600,True,2,2014,Krillbite Studio
227940,True,2,2023,Reto-Moto
437220,True,2,2023,
221100,True,2,2015,Bohemia Interactive
264710,True,2,2015,
218620,True,2,2014,
47790,True,2,2014,Electronic Arts
570,True,2,2015,
440,True,2,2012,Valve
420,True,2,2011,Valve
380,True,2,2011,Valve
220,True,2,2011,Valve
1250,True,2,2010,Tripwire Interactive
349700,True,2,2015,Free Reign Entertainment
226700,True,2,2013,
209160,True,2,2013,Infinity Ward
730,True,2,2014,Valve
1250,True,2,2014,Tripwire Interactive
4000,True,2,2014,Facepunch Studios
401650,True,2,2015,OVERKILL - a Starbreeze Studio.
35450,True,2,2012,Tripwire Interactive
230410,True,2,2015,Digital Extremes
248860,True,2,2014,Blue Bottle Games
211820,True,2,2023,Chucklefish
244850,True,2,2015,
730,True,2,2015,Valve
233450,True,2,2014,Introversion Software
214420,True,2,2023,Doctor Entertainment AB
440,True,2,2023,Valve
4000,True,2,2023,Facepunch Studios
24240,True,2,2014,OVERKILL Software
105600,True,2,2015,Re-Logic
113020,True,2,2014,Pocketwatch Games
440,True,2,2014,Valve
221100,True,2,2023,Bohemia Interactive
310370,True,2,2015,"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita"
383870,True,2,2023,Campo Santo
730,True,2,2014,Valve
550,True,2,2014,Valve
204030,True,2,2014,Lionhead Studios
440,True,2,2013,Valve
383080,True,2,2015,
304930,True,2,2014,Smartly Dressed Games
207230,True,2,2015,CodeBrush Games
10150,True,2,2014,Radical Entertainment
218620,True,2,2014,
292030,True,2,2023,
261640,True,2,2023,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
220240,True,2,2014,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
34330,True,2,2012,
271590,True,2,2015,Rockstar North
570,True,2,2023,
291550,True,2,2015,Blue Mammoth Games
259080,True,2,2013,Avalanche Studios
256350,True,2,2014,
249380,True,2,2015,
620,True,2,2015,Valve
10090,True,2,2014,Treyarch
22370,True,2,2015,Bethesda Game Studios
307690,True,2,2015,"United Front Games,Feral Interactive (Mac)"
72850,True,2,2015,
1250,True,2,2015,Tripwire Interactive
440,True,2,2014,Valve
440,True,2,2014,Valve
208090,True,2,2014,Edge of Reality
250340,True,2,2014,"Eric Hartman,Ben Garney,Anthony Rotondo"
244850,True,2,2014,
221640,True,2,2015,Terry Cavanagh
104900,True,2,2015,"Trek Industries, Inc"
105600,True,2,2015,Re-Logic
262410,True,2,2014,Noble Empire Corp.
222940,True,2,2015,SNK CORPORATION
4000,True,2,2014,Facepunch Studios
317360,True,2,2014,Double Action Factory
259080,True,2,2013,Avalanche Studios
208520,True,2,2013,Haemimont Games
239660,True,2,2015,Dragonfly
304930,True,2,2015,Smartly Dressed Games
730,True,2,2023,Valve
472680,True,2,2023,Neoclassic Games
4000,True,2,2014,Facepunch Studios
295270,True,2,2014,
265930,True,2,2015,Coffee Stain Studios
283920,True,2,2015,Humongous Entertainment
440,True,2,2015,Valve
294650,True,2,2015,Humongous Entertainment
12120,True,2,2015,Rockstar Games
428690,True,2,2023,U-Play Online
55230,True,2,2015,Volition
730,True,2,2023,Valve
228280,True,2,2015,Beamdog
240760,True,2,2014,inXile Entertainment
250900,True,2,2015,"Nicalis, Inc."
9900,True,2,2023,Cryptic Studios
212680,True,2,2014,Subset Games
381210,True,2,2023,
205100,True,2,2013,Arkane Studios
271290,True,2,2014,
346010,True,2,2015,Spiderling Studios
313120,True,2,2015,Beam Team Games
211820,True,2,2015,Chucklefish
220240,True,2,2014,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
17300,True,2,2014,Crytek
206440,True,2,2013,Freebird Games
209000,True,2,2013,"WB Games Montreal,Splash Damage"
218060,True,2,2013,Gaijin Games
24240,True,2,2012,OVERKILL Software
440,True,2,2015,Valve
47410,True,2,2023,FireFly Studios
105600,True,2,2015,Re-Logic
9480,True,2,2015,Volition
359870,True,2,2023,Square Enix
203770,True,2,2013,Paradox Development Studio
550,True,2,2013,Valve
259080,True,2,2013,Avalanche Studios
8870,True,2,2014,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)"
19900,True,2,2013,Ubisoft Montreal
241540,True,2,2013,Undead Labs
220,True,2,2013,Valve
17390,True,2,2014,Maxis™
317360,True,2,2015,Double Action Factory
253030,True,2,2015,
295110,True,2,2015,
264710,True,2,2015,
4000,True,2,2014,Facepunch Studios
252470,True,2,2023,
730,True,2,2015,Valve
344770,True,2,2015,ALICE IN DISSONANCE
22380,True,2,2014,Obsidian Entertainment
440,True,2,2023,Valve
9900,True,2,2015,Cryptic Studios
221640,True,2,2014,Terry Cavanagh
202170,True,2,2014,United Front Games
245490,True,2,2014,"RedLynx, in collaboration with  Ubisoft Shanghai, Ubisoft Kiev"
313120,True,2,2015,Beam Team Games
269250,True,2,2015,Spicy Tails
244850,True,2,2014,
12160,True,2,2023,Rockstar San Diego
219990,True,2,2015,Crate Entertainment
293260,True,2,2015,Blue Manchu
219640,True,2,2023,Torn Banner Studios
200210,True,2,2013,Wild Shadow Studios
218130,True,2,2013,Critical Studio
270210,True,2,2023,Icetesy SPRL
386070,True,2,2023,Uber Entertainment
8930,True,2,2023,"Firaxis Games,Aspyr (Mac, Linux)"
330830,True,2,2023,Telltale Games
218230,True,2,2014,Daybreak Game Company
104900,True,2,2014,"Trek Industries, Inc"
440,True,2,2014,Valve
240,True,2,2011,Valve
31270,True,2,2012,
113200,True,2,2012,Edmund McMillen and Florian Himsl
8190,True,2,2012,Avalanche Studios
43000,True,2,2012,Double Helix Games
98800,True,2,2011,"Gaslamp Games, Inc."
107100,True,2,2011,Supergiant Games
630,True,2,2010,Valve
57300,True,2,2010,Frictional Games
213670,True,2,2014,Obsidian Entertainment
105600,True,2,2014,Re-Logic
209870,True,2,2015,Hardsuit Labs
401920,True,2,2015,"Nicalis, Inc.,Edmund McMillen"
33230,True,2,2023,Ubisoft Montreal
440,True,2,2015,Valve
363970,True,2,2023,Playsaurus
65790,True,2,2023,Bohemia Interactive
72850,True,2,2023,
230410,True,2,2023,Digital Extremes
630,True,2,2015,Valve
244850,True,2,2014,
99900,True,2,2015,Grey Havens
250900,True,2,2015,"Nicalis, Inc."
211820,True,2,2013,Chucklefish
380600,True,2,2015,Fishing Planet LLC
220200,True,2,2023,Squad
47780,True,2,2023,Visceral Games
4000,True,2,2023,Facepunch Studios
107410,True,2,2015,Bohemia Interactive
435881,True,2,2023,Bethesda Game Studios
490650,True,2,2023,
391270,True,2,2015,David Szymanski
301520,True,2,2015,Freejam
246420,True,2,2015,Ironhide Game Studio
289130,True,2,2015,AMPLITUDE Studios
234630,True,2,2015,
253030,True,2,2023,
249050,True,2,2015,AMPLITUDE Studios
418340,True,2,2015,Rooster Teeth Games
223850,True,2,2015,Futuremark
245550,True,2,2014,
570,True,2,2014,
440,True,2,2014,Valve
230410,True,2,2023,Digital Extremes
80,True,2,2015,Valve
56400,True,2,2014,
219150,True,2,2015,Dennaton Games
204450,True,2,2023,Techland
239140,True,2,2023,Techland
218620,True,2,2015,
440,True,2,2015,Valve
385770,True,2,2015,Proton Studio Inc
252630,True,2,2014,Minor Key Games
212200,True,2,2014,NEXON Korea Corp.
230410,True,2,2015,Digital Extremes
4000,True,2,2015,Facepunch Studios
346900,True,2,2015,Hyper Hippo Games
440,True,2,2012,Valve
630,True,2,2023,Valve
223470,True,2,2023,Running With Scissors
253430,True,2,2023,
620,True,2,2023,Valve
4000,True,2,2023,Facepunch Studios
440,True,2,2023,Valve
730,True,2,2023,Valve
203160,True,2,2014,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)"
219640,True,2,2014,Torn Banner Studios
105600,True,2,2015,Re-Logic
369580,True,2,2015,NotGames
113420,True,2,2014,Reloaded Productions
377160,True,2,2015,Bethesda Game Studios
236690,True,2,2023,Cyanide Studios
440,True,2,2014,Valve
243870,True,2,2014,
223750,True,2,2023,
400250,True,2,2023,"Fabio Ferrara,Giulia Airoldi"
296240,True,2,2023,"Boolat Games,Alawar Entertainment"
8500,True,2,2013,CCP
289130,True,2,2014,AMPLITUDE Studios
202970,True,2,2014,Treyarch
20920,True,2,2014,CD PROJEKT RED
265930,True,2,2014,Coffee Stain Studios
346110,True,2,2015,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC"
304930,True,2,2015,Smartly Dressed Games
236390,True,2,2015,
219640,True,2,2015,Torn Banner Studios
440,True,2,2015,Valve
4000,True,2,2015,Facepunch Studios
391540,True,2,2023,tobyfox
379720,True,2,2023,id Software
55230,True,2,2014,Volition
259700,True,2,2013,
261640,True,2,2014,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
440,True,2,2015,Valve
22380,True,2,2015,Obsidian Entertainment
570,True,2,2014,
4000,True,2,2014,Facepunch Studios
570,True,2,2014,
310380,True,2,2014,Edge Case Games Ltd.
4000,True,2,2023,Facepunch Studios
233270,True,2,2023,Ubisoft Montreal
230410,True,2,2015,Digital Extremes
304050,True,2,2015,Trion Worlds
212680,True,2,2014,Subset Games
107410,True,2,2013,Bohemia Interactive
226700,True,2,2014,
113020,True,2,2014,Pocketwatch Games
219740,True,2,2014,
221100,True,2,2014,Bohemia Interactive
393010,True,2,2015,"Klei Entertainment,Capybara Games"
208090,True,2,2014,Edge of Reality
440,True,2,2013,Valve
440,True,2,2023,Valve
730,True,2,2023,Valve
218230,True,2,2014,Daybreak Game Company
205890,True,2,2023,Jagex
434260,True,2,2023,Green Lava Studios
10500,True,2,2013,"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)"
220240,True,2,2013,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
113200,True,2,2014,Edmund McMillen and Florian Himsl
440,True,2,2013,Valve
630,True,2,2013,Valve
241930,True,2,2023,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)"
1250,True,2,2014,Tripwire Interactive
238460,True,2,2014,The Behemoth
730,True,2,2013,Valve
440,True,2,2013,Valve
730,True,2,2023,Valve
295110,True,2,2015,
301520,True,2,2015,Freejam
346560,True,2,2015,Lonely Troops
328220,True,2,2015,Quickfire Games
256410,True,2,2013,
730,True,2,2015,Valve
252490,True,2,2014,Facepunch Studios
203160,True,2,2013,"Crystal Dynamics,Feral Interactive (Mac),Feral Interactive (Linux)"
39120,True,2,2013,Trion Worlds
218620,True,2,2023,
91310,True,2,2011,
730,True,2,2014,Valve
263280,True,2,2023,Oovee® Game Studios
252490,True,2,2023,Facepunch Studios
310380,True,2,2015,Edge Case Games Ltd.
304930,True,2,2014,Smartly Dressed Games
220,True,2,2012,Valve
4000,True,2,2015,Facepunch Studios
48700,True,2,2012,TaleWorlds Entertainment
364360,True,2,2023,"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)"
4000,True,2,2015,Facepunch Studios
219640,True,2,2023,Torn Banner Studios
304930,True,2,2015,Smartly Dressed Games
323370,True,2,2023,"Bluehole, Inc."
209870,True,2,2015,Hardsuit Labs
216250,True,2,2015,
50300,True,2,2015,Yager Development
333930,True,2,2015,Splash Damage
236390,True,2,2023,
34330,True,2,2023,
440,True,2,2015,Valve
300570,True,2,2015,Zachtronics
201420,True,2,2013,Two Tribes
238260,True,2,2013,FarSight Studios
206210,True,2,2015,"Monolith Productions, Inc."
570,True,2,2014,
440,True,2,2014,Valve
6060,True,2,2014,Pandemic Studios
364360,True,2,2023,"Creative Assembly,Feral Interactive (Linux),Feral Interactive (Mac)"
248820,True,2,2015,"Hopoo Games, LLC"
221100,True,2,2014,Bohemia Interactive
202970,True,2,2014,Treyarch
4000,True,2,2014,Facepunch Studios
344760,True,2,2015,Code}{atch
251570,True,2,2014,
313120,True,2,2015,Beam Team Games
374320,True,2,2023,"FromSoftware, Inc."
222880,True,2,2014,New World Interactive
252950,True,2,2015,"Psyonix, Inc."
318420,True,2,2023,"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)"
225540,True,2,2023,Avalanche Studios
4000,True,2,2015,Facepunch Studios
440,True,2,2014,Valve
237930,True,2,2015,Supergiant Games
293780,True,2,2014,Powerhoof
20530,True,2,2014,"Volition, Inc."
208090,True,2,2014,Edge of Reality
39150,True,2,2013,Square Enix
70,True,2,2013,Valve
13210,True,2,2012,"Epic Games, Inc."
22120,True,2,2012,Frictional Games
449710,True,2,2023,Hexage
204100,True,2,2014,Rockstar Studios
270370,True,2,2015,Vortal Storm
251570,True,2,2013,
271590,True,2,2015,Rockstar North
24860,True,2,2015,
333950,True,2,2015,Keen Software House
72850,True,2,2015,
333930,True,2,2015,Splash Damage
346010,True,2,2015,Spiderling Studios
730,True,2,2014,Valve
238460,True,2,2015,The Behemoth
251630,True,2,2014,Grip Games
218620,True,2,2014,
55140,True,2,2013,"Double Helix Games,Rainbow Studios,THQ Nordic"
318430,True,2,2015,"Tomi Maarela,Elias Viglione"
252490,True,2,2023,Facepunch Studios
230410,True,2,2014,Digital Extremes
218620,True,2,2014,
271290,True,2,2014,
630,True,2,2014,Valve
10680,True,2,2012,Rebellion
474750,True,2,2023,Nerial
570,True,2,2023,
1250,True,2,2013,Tripwire Interactive
213650,True,2,2013,Power of 2
429720,True,2,2023,Ivan Zanotti's MyMadness Works
234190,True,2,2014,Wolfire Games
261880,True,2,2014,DolphinBarn
263760,True,2,2014,Secret Exit Ltd.
233190,True,2,2014,Mighty Rocket Studio
220780,True,2,2014,Bithell Games
237740,True,2,2014,FreakZone Games
6830,True,2,2023,Pyro Studios
383080,True,2,2015,
440,True,2,2013,Valve
212180,True,2,2013,
4560,True,2,2013,Relic Entertainment
17700,True,2,2013,Insurgency Development Team
385770,True,2,2023,Proton Studio Inc
72850,True,2,2023,
383870,True,2,2023,Campo Santo
22100,True,2,2023,TaleWorlds Entertainment
8930,True,2,2015,"Firaxis Games,Aspyr (Mac, Linux)"
730,True,2,2015,Valve
316010,True,2,2023,Stainless Games Ltd.
200210,True,2,2015,Wild Shadow Studios
10090,True,2,2015,Treyarch
291550,True,2,2023,Blue Mammoth Games
41300,True,2,2014,Nimbly Games
304930,True,2,2014,Smartly Dressed Games
4000,True,2,2015,Facepunch Studios
440,True,2,2015,Valve
291550,True,2,2014,Blue Mammoth Games
224760,True,2,2014,Polytron Corporation
219640,True,2,2014,Torn Banner Studios
322910,True,2,2015,Hammerfall Publishing
6060,True,2,2015,Pandemic Studios
4920,True,2,2023,Unknown Worlds Entertainment
333930,True,2,2023,Splash Damage
433340,True,2,2023,Monomi Park
274940,True,2,2014,Digital Confectioners
8980,True,2,2013,Gearbox Software
730,True,2,2014,Valve
266840,True,2,2015,
344760,True,2,2015,Code}{atch
72850,True,2,2013,
440,True,2,2013,Valve
226700,True,2,2013,
461560,True,2,2023,Blind Sky Studios
208090,True,2,2014,Edge of Reality
237870,True,2,2015,Pathea Games
224540,True,2,2013,Jagex Limited
248570,True,2,2014,Nabi Studios
12120,True,2,2014,Rockstar Games
221100,True,2,2015,Bohemia Interactive
1840,True,2,2013,Valve
252490,True,2,2014,Facepunch Studios
72200,True,2,2014,Giant Army
252490,True,2,2015,Facepunch Studios
239030,True,2,2015,3909
211820,True,2,2014,Chucklefish
8870,True,2,2014,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)"
24860,True,2,2013,
238960,True,2,2014,
255710,True,2,2023,Colossal Order Ltd.
220200,True,2,2014,Squad
440,True,2,2015,Valve
2700,True,2,2015,"Frontier,Aspyr (Mac)"
94400,True,2,2014,Messhof
42910,True,2,2015,Arrowhead Game Studios
238010,True,2,2015,"Eidos Montreal,Feral Interactive (Mac)"
241930,True,2,2014,"Monolith Productions,Feral Interactive (Mac),Feral Interactive (Linux)"
287700,True,2,2023,Konami Digital Entertainment
418340,True,2,2023,Rooster Teeth Games
302590,True,2,2015,Subvert Games
242880,True,2,2013,Big Robot Ltd
394230,True,2,2023,Gearbox Software
22380,True,2,2013,Obsidian Entertainment
378648,True,2,2023,
292030,True,2,2023,
440,True,2,2015,Valve
209080,True,2,2015,Muse Games
56400,True,2,2014,
49600,True,2,2013,Cold Beam Games
109600,True,2,2014,Cryptic Studios
233720,True,2,2014,Bossa Studios
330840,True,2,2015,Telltale Games
19000,True,2,2015,Double Helix Games
242050,True,2,2014,Ubisoft Montreal
206420,True,2,2014,Deep Silver Volition
4000,True,2,2014,Facepunch Studios
267750,True,2,2014,Cliffhanger Productions
259720,True,2,2014,Sakura River Interactive
293920,True,2,2014,Winter Wolves
248310,True,2,2014,GalaxyTrail
49520,True,2,2014,"Gearbox Software,Aspyr (Mac &amp; Linux)"
238430,True,2,2013,"Monochrome, Inc"
220240,True,2,2013,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai"
201810,True,2,2015,Machine Games
72850,True,2,2014,
730,True,2,2013,Valve
10680,True,2,2013,Rebellion
219640,True,2,2013,Torn Banner Studios
570,True,2,2015,
391540,True,2,2015,tobyfox
433950,True,2,2023,Nickervision Studios
